AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,"Semaglutide vs Bupropion/Naltrexone (n=1,238/cohort)",,,
0.83,0.83 (0.75-0.92),0.75,0.92,,703 (56.8%),741 (59.9%),,"","Medical encounter for TUD diagnosis "
0.74,0.74 (0.55-0.98),0.55,0.98,,82 (6.6%),105 (8.5%),,"","Smoking cessation counseling"
0.62,0.62 (0.51-0.75),0.51,0.75,,172 (13.9%),255 (20.6%),,"","Nicotine replacement therapy"
0.18,0.18 (0.15-0.21),0.15,0.21,,179 (14.5%),"686 (55.4%)",,"","Prescription of quit-smoking medications"
,,,,,"Semaglutide vs Phentermine/Topiramate (n=520/cohort)",,,
0.96,0.96 (0.81-1.13),0.81,1.13,,287 (55.2%),275 (52.9%),,"","Medical encounter for TUD diagnosis "
1.14,1.14 (0.71-1.83),0.71,1.83,,37 (7.1%),31 (6.0%),,"","Smoking cessation counseling"
0.63,0.63 (0.46-0.85),0.46,0.85,,67 (12.9%),96 (18.5%),,"","Nicotine replacement therapy"
0.84,0.84 (0.60-1.17),0.60,1.17,,68 (13.1%),75 (14.4%),,"","Prescription of quit-smoking medications"
