AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,"Semaglutide vs Nicotine replacement therapy (n=1,131/cohort)",,,
0.62,0.62 (0.56-0.70),0.56,0.70,,540 (47.7%),691 (61.1%),,"","Medical encounter for TUD diagnosis "
0.66,0.66 (0.49-0.90),0.49,0.90,,70 (6.2%),102 (9.0%),,"","Smoking cessation counseling"
0.15,0.15 (0.12-0.19),0.12,0.19,,107 (9.5%),534 (47.2%),,"","Nicotine replacement therapy"
0.85,0.85 (0.70-1.04),0.70,1.04,,189 (16.7%),"212 (18.7%)",,"","Prescription of quit-smoking medications"
,,,,,"Semaglutide vs Bupropion/Varenicline (n=1,173/cohort)",,,
0.72,0.72 (0.64-0.80),0.64,0.80,,562 (47.9%),685 (58.4%),,"","Medical encounter for TUD diagnosis "
0.69,0.69 (0.51-0.93),0.51,0.93,,71 (6.1%),102 (8.7%),,"","Smoking cessation counseling"
0.56,0.56 (0.45-0.71),0.45,0.71,,110 (9.4%),187 (15.9%),,"","Nicotine replacement therapy"
0.25,0.25 (0.22-0.30),0.22,0.30,,202 (17.2%),609 (51.9%),,"","Prescription of quit-smoking medications"
